station_id,metro_500m,bus_500m,Parks_500m,Libraries_500m,Colleges_500m,Attractions_500m,Athletics_500m,Supermarkets and Convenience Stores_500m,Malls and Shopping Centers_500m,"Restaurants, Cafes, and Bars_500m",Retail Stores_500m,hospitals_500m,residential_500m,civic_buildings_500m,event_venues_500m,start_lat,start_lng
4818.03,8,13,0,0,0,0,0,1,0,0,0,0,0,1,0,40.70029511,-73.95032283
4821.03,6,21,0,0,0,0,0,6,0,30,5,0,0,0,1,40.700119,-73.9862
4821.1,6,20,0,0,0,0,0,6,0,44,5,0,0,0,1,40.70076308326150,-73.98869812488560
4829.01,5,0,0,0,0,1,0,1,0,19,0,1,0,0,0,40.70037867,-73.99548059
4832.07,3,23,0,0,0,0,0,7,0,50,6,0,0,3,2,40.70112,-73.93039
4840.06,6,20,0,0,0,0,0,4,0,8,2,2,0,0,0,40.70099,-73.93921
4846.01,18,26,3,0,0,52,0,7,0,47,1,0,0,2,0,40.70122128,-74.01234218
4853.06,4,11,0,0,0,0,0,6,0,29,5,0,0,0,1,40.70133448066990,-73.98471236228940
4861.05,9,17,0,0,0,0,0,4,0,38,5,2,0,0,0,40.7003,-73.991581
4873.08,3,19,0,0,0,0,0,4,0,32,3,1,0,2,0,40.70106,-73.93318
4883.03,11,21,0,0,0,0,0,5,0,7,2,4,0,0,0,40.7016657,-73.9437303
4889.06,20,27,4,0,0,70,0,8,0,47,1,1,0,1,0,40.701907,-74.013942
4892.02,14,18,0,0,0,0,0,3,0,1,0,0,0,3,0,40.702726,-73.94984
4895.03,4,14,0,0,0,0,0,6,0,39,5,0,0,0,1,40.702461,-73.986842
4895.09,6,16,0,0,0,0,0,6,0,38,5,0,0,0,1,40.70140317257730,-73.98672670125960
4895.15,6,18,0,0,0,0,0,6,0,41,5,0,0,0,1,40.70140463410640,-73.98768022656440
4903.08,2,8,0,0,0,1,0,2,0,28,2,0,0,0,0,40.70277159,-73.99383605
4903.09,3,9,0,0,0,3,0,4,0,42,5,0,0,0,0,40.702709,-73.99253
4914.03,9,16,0,0,0,0,0,3,0,11,3,1,0,1,0,40.70076,-73.93641
4920.13,24,26,3,0,0,59,0,8,0,71,3,1,0,2,1,40.70188858913370,-74.01089876890180
4927.04,2,10,0,0,0,0,0,4,0,22,3,1,0,0,2,40.70224,-73.982578
4933.03,13,19,0,0,0,0,0,8,0,1,4,0,0,3,0,40.702753,-73.953168
4933.04,9,20,0,0,0,0,0,11,0,4,4,0,0,3,0,40.703681,-73.95427
4936.01,6,11,0,0,0,2,0,6,0,48,5,0,0,0,1,40.70255088,-73.98940236
4936.21,3,7,0,0,0,3,0,4,0,47,5,0,0,0,1,40.70378167354830,-73.99073392152790
4947.04,5,18,0,0,0,0,0,6,0,44,9,0,0,2,0,40.702831,-73.9333
4953.04,15,16,3,0,0,60,0,12,0,96,7,2,0,1,1,40.70355377,-74.00670227
4953.08,26,17,6,0,0,74,0,15,0,139,8,3,0,1,1,40.70531,-74.00613
4956.02,6,23,0,0,0,0,0,4,0,16,3,4,0,0,0,40.7031724,-73.940636
4962.01,55,43,4,0,0,91,0,17,0,95,4,3,0,1,0,40.70463334,-74.01361706
4962.08,54,37,4,0,0,85,0,16,0,103,4,3,0,2,0,40.70365182,-74.01167797
4962.09,42,32,4,0,0,78,0,12,0,78,4,3,0,2,0,40.703144,-74.013178
4965.01,13,23,0,0,0,0,0,4,0,6,0,2,0,3,1,40.70411791,-73.94818595
4968.03,2,8,0,0,0,0,0,6,0,33,5,0,0,0,1,40.70296934155270,-73.98469090461730
4982.02,0,0,0,0,0,0,0,3,0,5,3,3,0,3,0,40.705774,-73.963252
4987.06,5,17,0,0,0,0,0,4,0,39,6,0,0,2,0,40.704508,-73.9351
4990.02,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,40.70514807698390,-73.97078096866610
4993.02,55,40,4,0,0,78,0,14,0,129,6,5,0,2,1,40.7047177,-74.00926027
4993.13,26,20,4,0,0,59,0,11,0,103,6,4,0,2,1,40.70336686695870,-74.007867872715
4993.15,31,21,4,0,0,84,0,13,0,124,8,5,0,2,1,40.70469667894970,-74.00803416967390
4996.08,8,27,0,0,0,0,0,5,0,20,2,4,0,0,1,40.70510918,-73.94407279
5001.08,39,33,2,0,0,65,0,11,0,53,2,3,0,1,0,40.70569254,-74.01677685
5004.02,14,19,0,0,0,0,0,9,0,8,0,2,0,3,1,40.70538077,-73.94976519
5021.05,0,6,0,0,0,0,0,2,0,6,0,2,0,2,0,40.706563674670900,-73.9683187007904
5024.1,33,18,6,0,0,81,0,16,0,153,12,5,0,2,1,40.706410755236100,-74.00559738278390
5027.02,4,17,0,0,0,0,0,5,0,26,3,3,0,0,0,40.705517,-73.93936
5033.01,61,54,3,0,0,98,0,19,0,122,5,4,0,1,0,40.705945132708800,-74.01321887969970
5036.06,10,25,0,0,0,0,0,7,0,11,0,3,0,3,1,40.70583339,-73.94644578
5045.05,18,22,0,0,0,0,0,13,0,12,4,0,0,3,0,40.70684203101330,-73.9544353965357
5053.01,9,30,0,0,0,0,0,7,0,14,5,3,0,2,0,40.706732,-73.961241
5059.02,5,15,0,0,0,0,0,4,0,41,10,1,0,2,0,40.706237,-73.933871
5065.1,63,35,4,0,1,97,0,19,0,185,16,7,0,2,1,40.70706456,-74.00731853
5065.12,79,38,5,0,0,96,0,25,0,194,20,7,0,1,1,40.70717936,-74.00887308
5065.14,48,31,6,0,1,96,0,15,0,135,13,4,0,3,1,40.70838,-74.00495
5068.02,7,17,0,0,0,0,0,6,0,25,2,3,0,0,1,40.70767788,-73.94016171
5073.07,76,43,2,0,0,96,0,20,0,122,20,3,0,1,0,40.70806582380650,-74.0135595202446
5076.04,13,27,0,0,0,0,0,19,0,54,3,2,0,3,2,40.708323,-73.948732
5084.03,14,32,0,0,0,0,0,11,0,13,5,1,0,2,0,40.70708701,-73.95796783
5093.01,2,26,0,0,0,0,0,10,0,39,1,4,0,2,0,40.70853074,-73.96408963
