name,category,latitude,longitude
Sam Sunny,restaurant,40.7415576,-73.9784628
Stonewall Inn,bar,40.7338007,-74.0021484
Pedro's,restaurant,40.7025316,-73.9865653
Trudy's Ice Cream,restaurant,40.8003773,-73.9618056
Bubo,restaurant,40.7460362,-73.9776676
Little Alley,restaurant,40.7473845,-73.9771526
The Musket Room,restaurant,40.7239188,-73.9937813
Nha Trang One,restaurant,40.7167899,-73.9996711
Perk Kafe,cafe,40.7477067,-73.9772631
Lenox Coffee,cafe,40.810011,-73.9431823
Mi,restaurant,40.7461325,-73.9775916
Barcade,bar,40.7120257,-73.951117
Mugs Ale House,restaurant,40.7194991,-73.9557619
Starbucks,cafe,40.7032771,-74.0141339
Cafe Delecctica,cafe,40.7481687,-73.9766084
The Inwood Farm,restaurant,40.8727992,-73.918421
Garden Café,restaurant,40.8681188,-73.9204207
Le Monde,restaurant,40.8057782,-73.9658657
The Richardson,bar,40.7189211,-73.9452678
Carmine's Pizzeria,restaurant,40.714968,-73.9443016
El Loco Burrito,restaurant,40.7148102,-73.9445968
Tony's Pizza,restaurant,40.7150542,-73.9446372
East Met West,restaurant,40.714447,-73.9439212
Il Passatore,restaurant,40.7143441,-73.9420637
Hard Rock Cafe,restaurant,40.756994,-73.9865512
Carbone,restaurant,40.7554192,-73.9930152
Freemans,restaurant,40.7219891,-73.9924423
Aurora,restaurant,40.715682,-73.964684
Best Bagel & Coffee,cafe,40.7522171,-73.9911323
Toasties,cafe,40.757084,-73.977893
Tick Tock Diner,restaurant,40.7524435,-73.9935503
Giovanni,restaurant,40.779131,-73.960536
City Market Cafe,cafe,40.7786106,-73.9606629
9th St Espresso,cafe,40.725087,-73.9777631
Nicky's Unisex,bar,40.7122799,-73.9643956
Vinegar Hill House,restaurant,40.7027578,-73.9812369
Starbucks,cafe,40.7938416,-73.9727702
Junior's,restaurant,40.7582151,-73.9866267
Marlow & Sons,restaurant,40.7106872,-73.9656773
Diner,restaurant,40.7106766,-73.9655977
Niko Coffee,cafe,40.8052757,-73.9624308
Fuji East Restaurant,restaurant,40.7590731,-73.9522681
Piccolo Trattoria,restaurant,40.7592113,-73.9525792
Starbucks,cafe,40.7593049,-73.952923
Standings,bar,40.7282929,-73.9885805
Starbucks,cafe,40.7491,-73.983903
Starbucks,cafe,40.7481846,-73.985687
Ristorante Settepani,restaurant,40.8043628,-73.9476425
Think Coffee,cafe,40.7254132,-73.992406
Starbucks,cafe,40.7272065,-73.9954808
Juliette Restaurant,restaurant,40.716964,-73.959114
miDmuS,restaurant,40.717029,-73.95921
Ako,restaurant,40.7169209,-73.9585388
Doughnut Plant,cafe,40.7174274,-73.9583326
Twin Cafe,cafe,40.7149297,-74.0110479
Kaffe 1668,cafe,40.7151714,-74.0110643
Pick-a-Bagel,cafe,40.7145898,-74.0151484
Le Pain Quotidien,cafe,40.7149567,-74.0094239
Starbucks,cafe,40.715522,-74.008983
Rockmeisha Izakaya,restaurant,40.7326428,-74.002464
Annisa,restaurant,40.7326055,-74.0025709
John's of Bleecker St,restaurant,40.7316098,-74.0033416
Joe's Pizza,restaurant,40.7305467,-74.0020629
Momo Sushi,restaurant,40.7051487,-73.9333751
Hummus Place,restaurant,40.7322601,-74.0033462
Lombardi's Pizza,restaurant,40.7215933,-73.9956147
Le Pain Quotidien,cafe,40.780542,-73.954568
Cafe Social 68,cafe,40.7246121,-73.9843772
Citrico Cafe & Agaveria Bar,cafe,40.7579727,-73.9232898
Brick Lane,restaurant,40.7266326,-73.9893341
Tom's Restaurant,restaurant,40.8054509,-73.9654163
Counting Room,bar,40.7209114,-73.9569205
Urban Rustic,restaurant,40.719235,-73.9528162
The River Café,restaurant,40.7037562,-73.994822
Bill's Townhouse,restaurant,40.7601706,-73.9730036
Dancing Crane Cafe,cafe,40.7671831,-73.9720578
Four Seasons,restaurant,40.7580948,-73.9720223
Starbucks,cafe,40.7504996,-73.9791604
Starbucks,cafe,40.7518527,-73.9775605
Marchi's,restaurant,40.7431603,-73.9775799
Pando Park,restaurant,40.7449757,-73.9831065
Smith & Wollensky,restaurant,40.7552548,-73.9709515
El Rio Grande,restaurant,40.747976,-73.9770014
Stromboli Pizza,restaurant,40.7277727,-73.985401
Le Pain Quotidien,cafe,40.767389,-73.9814374
The Breslin,restaurant,40.7456818,-73.9881244
Blue Ribbon,restaurant,40.7675881,-73.9831167
Sushi Damo,restaurant,40.7677295,-73.9834926
Starbucks,cafe,40.7675105,-73.9829426
Starbucks,cafe,40.7676336,-73.9812871
Starbucks,cafe,40.7649496,-73.979109
USA Brooklyn Delicatessen,restaurant,40.7653848,-73.980359
Carnegie Diner & Cafe,restaurant,40.7657283,-73.9801012
Brooklyn Diner,restaurant,40.7656073,-73.9808744
Hooters,restaurant,40.7654347,-73.9813709
Petrossian,restaurant,40.7660154,-73.9794173
Farinella,restaurant,40.7671365,-73.9814703
Hoy Wong Restaurant,restaurant,40.7166141,-73.998003
