name,category,latitude,longitude
Whole Foods Market,supermarket,40.7347925,-73.9913589
One Love Deli,convenience,40.7146404,-73.9445688
Wholesome Basket,convenience,40.7146787,-73.944223
C-Town,supermarket,40.7143904,-73.9441049
Fine Fare,supermarket,40.8555109,-73.9294503
Westside Market,supermarket,40.7317446,-73.9885326
Whole Foods Market,supermarket,40.7156112,-74.0117376
Whole Foods Market,supermarket,40.7683962,-73.9826745
Key Food,supermarket,40.7617166,-73.9862921
Fairway Market,supermarket,40.780745,-73.9817611
Trader Joe's,supermarket,40.7785925,-73.9822755
S. K. Gourmet Deli & Grocery,convenience,40.7266731,-73.9893048
Unknown,convenience,40.7080993,-74.0133383
D'Agostino,supermarket,40.7371928,-74.0066439
Peas & Pickles,supermarket,40.7026168,-73.9894421
Duane Reade,convenience,40.7673868,-73.9826675
Morton Williams,supermarket,40.7688846,-73.9852324
Southside Food Plaza,supermarket,40.7091952,-73.9642356
Gateway News,convenience,40.7509934,-73.9773762
Bisto Marketplace,convenience,40.7514335,-73.9777549
Unknown,convenience,40.7499227,-73.9811684
7-Eleven,convenience,40.7471461,-73.9832346
Fancy NY Grill & Deli,convenience,40.7228421,-73.9856712
Global Fresh Marketplace,supermarket,40.7240812,-73.975958
Novello Market,convenience,40.7465639,-73.9720417
Lidl,supermarket,40.8061134,-73.9543707
Gristedes,supermarket,40.7814879,-73.9538705
Food Universe,supermarket,40.7451888,-73.9198546
Sunset Gourmet Deli,convenience,40.7547032,-73.9951011
ShopRite,supermarket,40.8521419,-74.0044007
J and J Food Market,convenience,40.7878447,-73.9493119
Cherry Gourmet Deli,convenience,40.7889176,-73.94854
Unknown,convenience,40.7900947,-73.947426
Lex & 103 Inc,convenience,40.7901739,-73.9476106
Gold Deli,convenience,40.7904193,-73.9482334
Green Valley Marketplace Sunnyside,supermarket,40.7416632,-73.9206147
Morton Williams,supermarket,40.8076459,-73.9645252
Columbus Natural Food,convenience,40.7922408,-73.9676361
P&S Deli Grocery,convenience,40.7923848,-73.9681775
Whole Foods Market,supermarket,40.7941324,-73.9668837
Whitehall Bakery,convenience,40.7011943,-74.0133408
The Health Nuts,supermarket,40.7964686,-73.9708267
Westside Market,supermarket,40.7958418,-73.9712857
Key Food,supermarket,40.7937062,-73.9703785
Fine Fare,supermarket,40.7138971,-73.9806102
Cozy Gourmet,convenience,40.7137769,-73.9798698
Hill Top Grocery,convenience,40.7143777,-73.981762
Eastside Kosher,convenience,40.7147479,-73.9822115
Duke's Deli II,convenience,40.7953407,-73.969686
H Mart,supermarket,40.8611338,-73.9705767
H Mart,supermarket,40.8456747,-73.9796046
H Mart,supermarket,40.8038856,-73.9665484
Cafasso's Fairway Market,supermarket,40.8393675,-73.981311
57 Market,convenience,40.7679878,-73.9854344
Market on Kent,supermarket,40.7307676,-73.9545749
Best Corner Deli,convenience,40.760738,-73.9085669
Foodtown,supermarket,40.7152916,-73.9594219
Broadway Mini Market Deli,convenience,40.7071393,-73.9538152
Cruz Deli,convenience,40.7077288,-73.9538887
Shop Fair,supermarket,40.7073591,-73.9544633
Mr. Pina,supermarket,40.7092084,-73.9588854
Han Nam,supermarket,40.8514772,-73.9867957
World Famous Gourmet Market,convenience,40.7051079,-74.0157525
Executive Deli,convenience,40.7700385,-73.9119335
Trade Fair,supermarket,40.7738776,-73.9071913
Food Cellar & Co Market,supermarket,40.7455301,-73.9563514
Unknown,convenience,40.744355,-73.931949
AmeriStore,convenience,40.743595,-73.928454
